2025-12-15_18-13-13,0,Main.java:2025-12-15_18-13-13
2025-12-15_18-15-11,0,Main.java:2025-12-15_18-15-11
2025-12-15_18-15-27,0,Main.java:2025-12-15_18-15-27
2025-12-15_18-15-44,0,Main.java:2025-12-15_18-15-44
2025-12-15_18-15-54,0,Main.java:2025-12-15_18-15-54
2025-12-15_18-16-20,0,Main.java:2025-12-15_18-16-20
2025-12-15_18-16-35,0,Main.java:2025-12-15_18-16-35
2025-12-15_18-16-40,0,Main.java:2025-12-15_18-16-40
2025-12-15_18-16-44,0,Main.java:2025-12-15_18-16-44
2025-12-15_18-16-57,0,Main.java:2025-12-15_18-16-57
2025-12-15_18-17-26,0,Main.java:2025-12-15_18-17-26
2025-12-15_18-17-55,0,Main.java:2025-12-15_18-17-55
2025-12-15_18-18-45,0,Main.java:2025-12-15_18-18-45
2025-12-15_18-19-16,0,Main.java:2025-12-15_18-19-16
2025-12-15_18-19-36,0,Main.java:2025-12-15_18-19-36
2025-12-15_18-22-39,0,Main.java:2025-12-15_18-22-39
2025-12-15_18-22-51,0,Main.java:2025-12-15_18-22-51
2025-12-15_18-22-59,0,Main.java:2025-12-15_18-22-59
2025-12-15_18-23-06,0,Main.java:2025-12-15_18-23-06
2025-12-15_18-27-02,0,Main.java:2025-12-15_18-27-02
2025-12-15_18-27-21,0,Main.java:2025-12-15_18-27-21
2025-12-15_18-27-36,0,Main.java:2025-12-15_18-27-36
2025-12-15_18-28-18,100,Main.java:2025-12-15_18-28-18
